track_name,track_id,album_name,album_id,artist_name,artist_id,track_popularity,explicit,track_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
RN,6fCCEtTEZxcxpZCBydxjvS,RN,3m59fnvwDXUsUtS5EqQG13,HAVEN,6xd3ACm5Dgf2Znj8abDUrd,1,False,https://open.spotify.com/track/6fCCEtTEZxcxpZCBydxjvS,0.745,0.729,7,-5.588,0,0.0568,0.132,1.31e-05,0.269,0.297,100.032
Deal With It (feat. Kelis),1S85LGnDPKKOkfuFaK6vFu,DEMIDEVIL,438ToDoVaJH5aTIXXrlDyI,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,55,True,https://open.spotify.com/track/1S85LGnDPKKOkfuFaK6vFu,0.712,0.689,1,-5.286,0,0.128,0.141,0,0.657,0.49,82.98
Glad He's Gone,3PUIguYpwKFXmfGD6uU7Jl,Sunshine Kitty,5kaCqETtik8oE7M9D8wxrW,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,43,True,https://open.spotify.com/track/3PUIguYpwKFXmfGD6uU7Jl,0.795,0.596,1,-8.073,1,0.0703,0.0823,0,0.128,0.506,91.026
Thought I Knew You (feat. The Weeknd),6uZU7ZkcLtzI1mBfy1HW7U,Queen (Deluxe),6zA5X3CQ5rgLKhTobyV5Id,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,33,True,https://open.spotify.com/track/6uZU7ZkcLtzI1mBfy1HW7U,0.77,0.715,1,-5.903,1,0.0448,0.0359,0.00179,0.0863,0.468,150.019
Carry On,2yZax79pOrYuyIFVW2cZY2,17,5VdyJkLe3yvOs0l4xXbWp0,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,69,True,https://open.spotify.com/track/2yZax79pOrYuyIFVW2cZY2,0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899
Us,16XiTUC2rQvb5lmtOm3FYY,Electric Light,08cprzGPjtLDvKMwtQh93R,James Bay,4EzkuveR9pLvDVFNx6foYD,67,False,https://open.spotify.com/track/16XiTUC2rQvb5lmtOm3FYY,0.563,0.473,0,-4.147,1,0.0361,0.177,1.5e-06,0.108,0.342,69.926
you broke me first,45bE4HXI0AwGZXfZtMp8JR,you broke me first,1RWiRfdNZKDe8VXzzf2VEc,Tate McRae,45dkTj5sMRSjrmBSBeiHym,30,True,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148
I Will Be Okay,2SGaKM9YuBID0wgDD4VbPx,I Will Be Okay,4a1KV3cG3bDvPScJ07V3EY,mimi bay,7BhFHZkSEe09pVDQZC6kVf,0,False,https://open.spotify.com/track/2SGaKM9YuBID0wgDD4VbPx,0.566,0.214,0,-10.089,1,0.0441,0.952,0,0.0984,0.543,154.75
&burn (with Vince Staples),6X7qcg95CAeJpTjtg1wooM,dont smile at me,7fRrTyKvE4Skh93v97gtcU,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,54,False,https://open.spotify.com/track/6X7qcg95CAeJpTjtg1wooM,0.776,0.379,9,-9.351,0,0.331,0.213,0.00175,0.0969,0.346,82.531
goodbye,3LgWsmilsrWXiPYQFRD0T7,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,64,False,https://open.spotify.com/track/3LgWsmilsrWXiPYQFRD0T7,0.153,0.138,6,-21.877,0,0.0503,0.837,0.55,0.254,0.0503,74.318
